Filename,F0_mid,F0_median,Duration(ms.)
Clip14,NA,272,3971.49
Clip14,NA,281,4185.034
Clip14,NA,291,4207.438
Clip14,237,280,1313.983
Clip14,234,246,1030.27
Clip14,287,297,1226.293
Clip14,NA,375,1832.549
Clip14,301,301,1076.735
Clip14,368,360,1664.773
Clip14,316,288,1051.456
Clip14,240,310,2368.554
Clip14,289,313,2386.874
Clip14,321,390,10524.215
Clip14,299,295,6089.984
Clip14,361,388,1277.062
Clip14,NA,398,2886.144
Clip14,344,331,1038.925
Clip14,NA,319,6877.307
Clip14,278,304,4324.813
Clip14,163,452,1353.667
Clip14,NA,348,6235.533
Clip14,NA,397,1843.313
Clip14,403,423,3153.752
Clip14,254,293,5103.991
Clip14,NA,408,3905.664
Clip14,404,404,1000.938
Clip14,350,335,3468.56
Clip14,252,264,1121.135
Clip14,303,295,2109.94
Clip14,290,287,2519.329
Clip15,473,304,2130.986
Clip15,NA,273,1402.306
Clip15,330,312,734.75
Clip15,265,281,1359.222
Clip15,NA,339,1394.562
Clip16,NA,208,3087.524
Clip16,185,279,908.902
Clip16,249,237,1869.741
Clip16,NA,289,782.687
Clip16,212,330,766.075
Clip16,212,237,873.375
Clip16,243,309,845.813
Clip16,NA,253,2869.533
Clip16,189,241,687.045
Clip16,197,292,802.194
Clip16,279,261,956.875
Clip16,193,290,799.906
Clip16,234,308,875.457
Clip16,247,241,1617.437
Clip16,226,216,1220.857
Clip16,185,210,389.529
Clip16,115,260,2924.062
Clip16,296,288,1268.549
Clip16,344,332,891.114
Clip16,NA,234,2409.625
Clip16,199,214,872.397
Clip16,347,302,1713.929
Clip16,333,241,1530.75
Clip16,329,266,1476.521
Clip16,NA,328,1002.155
Clip16,208,252,1029.788
Clip16,NA,305,940.875
Clip16,239,222,940.879
Clip16,265,261,1069.625
Clip16,233,269,838.758
Clip16,NA,317,775.016
Clip16,107,281,847.313
Clip16,481,470,1621.25
Clip16,203,303,867.083
Clip16,194,305,805.027
Clip16,208,336,853.5
Clip16,233,230,1981.818
Clip16,212,295,774.312
Clip16,92,313,798.563
Clip16,203,266,821.687
Clip16,194,263,763.186
Clip16,287,283,931.959
Clip16,344,285,1147.625
Clip16,NA,392,627.913
Clip16,165,310,803.849
Clip16,179,251,740.859
Clip16,513,510,2180.562
Clip16,NA,291,1992.754
Clip16,155,299,1506.18
Clip16,141,151,843.98
Clip16,187,271,822.068
Clip16,181,231,823.416
Clip16,193,302,905.875
Clip16,222,287,1038.188
Clip16,NA,312,1029.441
Clip16,NA,288,863.513
Clip16,167,280,800.297
Clip16,175,266,934.871
Clip16,311,302,1180.313
Clip16,NA,442,596.902
Clip16,276,249,753.09
Clip16,284,219,2420.5
Clip16,159,169,1116.25
Clip16,263,331,3015.816
Clip16,241,317,2929.062
Clip16,300,290,554.986
Clip16,295,288,564.084
Clip16,182,209,798.938
Clip16,NA,236,1914.702
Clip16,NA,248,1806.813
Clip16,336,271,3995.125
Clip16,NA,334,731.062
Clip16,NA,310,1817.804
Clip16,474,488,584.937
Clip16,282,253,2692.034
Clip16,NA,244,3690.945
Clip16,292,265,3123.709
Clip16,NA,278,3670.022
Clip16,NA,223,3814.4
Clip16,NA,236,3447.766
Clip16,NA,241,4481.147
Clip17,420,346,1793.126
Clip17,430,296,1761.98
Clip17,368,413,3450.382
Clip17,NA,301,3651.375
Clip17,336,337,3804.047
Clip17,515,302,2972.481
Clip17,254,263,3835.938
Clip17,283,285,3499.312
Clip17,256,271,3576.438
Clip17,343,261,3133.313
Clip17,445,372,2145.12
Clip17,NA,274,5330.062
Clip17,145,336,3301.873
Clip17,NA,298,3874.689
Clip17,352,327,10376.75
Clip17,334,320,7972.938
Clip17,NA,199,3851.783
Clip17,NA,291,3564.717
Clip17,307,338,1964.035
Clip17,312,339,5671.941
Clip17,NA,231,3675.678
Clip17,262,283,3685.96
Clip17,NA,288,8139.18
Clip17,,,
Clip17,279,4457.587,
Clip17,366,315,12103.663
Clip17,337,387,3939.258
Clip17,402,388,7070.375
Clip17,NA,445,4511.313
Clip17,411,284,4877.382
Clip17,NA,330,3666.092
Clip17,358,359,3824.159
Clip17,391,394,3456.312
Clip17,333,375,3449.313
