Filename,F0_mid,F0_median,Duration(ms.)
Clip27,184,179,1167.625
Clip27,174,178,1183.012
Clip28,292,296,2586.749
Clip28,NA,259,9679.823
Clip28,360,274,4710.966
Clip28,267,262,4233.188
Clip28,NA,220,9335.375
Clip28,NA,220,4459.312
Clip28,335,306,4683.375
Clip28,NA,234,8835.062
Clip28,362,287,4085.207
Clip28,228,264,4779.208
Clip28,NA,223,8596.046
Clip28,273,252,3766.104
Clip28,343,306,4791.389
Clip28,230,224,2349.187
Clip28,329,339,4603.378
Clip28,NA,275,4362.588
Clip28,275,265,4249.75
Clip28,NA,231,9095.457
Clip28,280,273,3962.437
Clip28,347,311,4897.062
Clip28,NA,242,9627.112
Clip28,375,297,4153.07
Clip28,273,272,4194.937
Clip28,NA,219,8526
Clip28,NA,227,3419.796
Clip28,229,243,3590.792
Clip28,NA,219,3456.52
Clip28,NA,258,7258.217
Clip28,230,241,3473.269
Clip28,180,224,3418.003
Clip28,NA,271,3836.157
Clip28,302,301,1713.64
Clip28,267,269,5465.331
Clip28,212,249,5959.498
Clip28,NA,271,7256.438
Clip28,NA,261,7084.18
Clip28,,,
Clip28,354,269,3154.875
Clip28,NA,275,6269.23
Clip28,346,270,3025.258
Clip28,313,264,2980.883
Clip28,293,280,6202.937
Clip28,307,303,2955.312
Clip28,222,239,2932.096
Clip28,297,300,2788.504
Clip28,276,272,3006.875
Clip28,170,219,3513.75
Clip28,223,264,3639.537
Clip28,NA,218,3604.263
Clip28,264,276,3947.063
Clip28,NA,224,8268.584
Clip28,227,230,3633.438
Clip28,274,229,3818.312
Clip28,202,202,2619.375
Clip29,240,214,307.2
Clip29,275,299,557.155
Clip29,396,368,2936.147
Clip29,248,256,1035
Clip29,312,315,800.434
Clip29,NA,303,2619
Clip29,213,302,2040.5
Clip29,NA,377,3377.757
Clip29,332,354,4680.875
Clip29,303,290,701.937
Clip29,255,273,1909.063
Clip29,289,323,1005
Clip29,NA,364,2817.238
Clip29,255,266,2604.574
Clip29,222,218,2717.415
Clip29,NA,239,699.101
Clip29,NA,269,700.676
Clip29,252,247,1140.875
Clip29,331,321,751.309
Clip29,NA,394,1076.905
Clip29,346,364,827.187
Clip29,405,407,2342.125
Clip29,509,529,2485.702
Clip29,568,266,4231.908
Clip29,447,436,3088.089
Clip29,226,239,744.787
Clip29,485,290,3357.067
Clip29,463,262,3275.539
Clip29,377,364,1055
Clip29,383,383,884.438
Clip29,322,314,1420.188
Clip29,333,329,1503.438
Clip29,NA,304,1354.437
Clip29,307,286,3296.25
Clip29,300,306,604.625
Clip29,343,292,1279.063
Clip29,NA,304,1486.813
Clip29,NA,NA,713.734
Clip29,NA,NA,1637.76
Clip29,229,269,1627.245
Clip29,NA,350,1789.513
Clip29,NA,200,938.25
Clip29,241,350,1742.683
Clip29,NA,386,866.602
Clip3,300,272,1921.552
Clip3,NA,205,3460.754
Clip3,NA,249,4388.802
Clip3,NA,221,5444.398
Clip3,203,205,1086.875
Clip3,324,325,940.452
Clip3,256,236,3618.625
Clip3,NA,246,864.23
Clip3,NA,288,1761.151
Clip3,NA,281,3604.875
Clip3,206,233,1416.627
Clip3,NA,248,1544.704
Clip3,NA,277,2136.431
Clip3,304,264,2213.553
Clip3,138,149,1764.755
Clip3,233,136,1105.25
Clip3,269,267,660.875
Clip3,NA,256,856.187
Clip3,NA,258,3257.034
Clip3,236,192,1225.938
Clip3,313,251,1150.25
Clip3,NA,214,2659.563
Clip3,NA,303,3531.375
Clip3,331,357,3342.688
Clip3,112,391,7633.062
Clip3,307,290,6179.688
Clip3,NA,226,2737.875
Clip3,393,420,4465.5
Clip3,462,390,5292.438
Clip3,249,280,12378.005
Clip3,324,288,12349.722
Clip3,343,289,4212.713
Clip3,214,254,8597.938
Clip3,370,286,487.5
Clip3,NA,212,902.125
Clip3,444,412,3553.862
Clip3,412,378,3963.5
Clip3,NA,373,3645.199
Clip3,NA,376,6036.37
Clip3,352,354,2950.532
Clip3,357,355,2637.25
Clip3,509,397,2984.313
Clip3,475,469,2680.625
Clip3,347,344,1414.625
Clip3,232,89,795.781
Clip3,273,262,3533.902
Clip3,235,184,1880.101
Clip3,310,312,3911.453
Clip3,NA,217,1650.145
Clip3,302,245,3551
Clip3,265,388,4945.724
Clip3,NA,427,4011
Clip3,NA,394,1448.5
Clip3,NA,406,994.419
Clip3,NA,250,2664.559
Clip3,NA,271,7109.188
Clip3,257,244,2189.062
Clip3,250,234,2136.104
Clip3,211,226,3340.469
Clip30,201,243,1563.774
Clip30,305,207,3004.103
Clip30,290,243,901.813
Clip30,166,191,889.173
Clip30,231,227,4010.75
Clip30,249,218,4586.187
Clip30,NA,249,1683.062
Clip30,NA,227,12718.625
Clip30,230,226,2472.554
Clip30,229,238,698.57
Clip30,NA,207,1520.688
Clip30,186,196,1574.375
Clip30,NA,327,889.894
Clip30,NA,247,1901.653
Clip30,146,211,3137.725
Clip30,NA,281,725.813
Clip30,NA,253,2207.437
Clip30,265,260,7970.187
Clip30,438,271,3343.187
Clip30,NA,276,7028.53
Clip30,271,301,1001.812
Clip30,221,188,1561.063
Clip30,161,253,5267.25
Clip30,NA,239,2858.089
Clip30,NA,240,1088.554
Clip30,NA,228,4799.981
Clip30,NA,256,8144.375
Clip30,172,194,982.563
Clip30,278,285,1800
Clip30,NA,202,2046.687
Clip30,223,233,4706.945
Clip30,444,269,4789.562
Clip30,NA,243,780.187
Clip30,NA,172,2431.573
Clip30,NA,216,1883.637
Clip30,121,116,1848.496
Clip30,107,109,685.698
Clip30,NA,117,1279.492
Clip30,NA,341,2989.559
Clip30,NA,122,2079.795
Clip30,142,142,1645.625
Clip30,247,156,2762.776
Clip30,151,169,2116.187
Clip30,200,222,2502.121
Clip30,NA,129,2053.536
Clip30,233,255,5417.263
Clip30,NA,234,5450.904
Clip30,NA,199,2609.847
Clip30,274,251,1660.449
Clip31,428,434,1245.688
Clip31,NA,228,2116.476
Clip31,204,187,2331.833
Clip31,168,174,694.938
Clip31,128,131,894.625
Clip31,148,149,860.75
Clip31,NA,248,925.326
Clip31,NA,156,2504.943
Clip31,200,197,2495.407
Clip31,140,174,1297.55
Clip31,NA,171,1406.204
Clip31,NA,95,1078.482
Clip31,233,227,3837.156
Clip31,132,153,335.98
Clip31,123,149,342.08
Clip31,146,151,362.297
Clip31,154,146,339.687
Clip31,NA,160,963.228
Clip31,156,161,1350.187
Clip31,142,186,571.31
Clip31,173,179,3416.988
Clip31,218,204,877.89
Clip31,NA,166,1142.62
Clip31,114,146,415.498
Clip31,159,167,1739.898
Clip31,NA,152,848.548
Clip31,131,161,393.55
Clip31,NA,138,383.472
Clip31,NA,147,413.809
Clip31,134,174,2583.878
Clip31,NA,150,1722.977
Clip31,NA,141,488.252
Clip31,150,153,285.655
Clip31,NA,148,367.835
Clip31,NA,155,1739.898
Clip31,NA,100,2009.765
Clip31,NA,170,1789.034
Clip31,144,153,685.09
Clip31,150,160,1272.463
Clip31,135,141,925.114
Clip31,150,155,337.592
Clip31,NA,210,6643.903
Clip31,165,104,628.702
Clip31,NA,147,558.326
Clip31,NA,158,2248.43
Clip31,NA,225,2821.877
Clip31,164,180,2969.276
Clip31,175,163,746.92
Clip31,148,157,546.871
Clip31,NA,231,2134.35
Clip31,NA,150,805.027
Clip31,NA,233,2179.499
Clip31,NA,147,1233.51
Clip31,NA,144,547.455
Clip31,144,152,361.513
Clip31,434,221,1310.676
Clip31,150,159,327.405
Clip31,144,150,480.361
Clip31,127,223,2921.471
Clip31,157,156,2102.919
Clip31,153,150,366.178
Clip31,92,84,628.856
Clip31,NA,160,686.906
Clip31,150,151,1045.331
Clip31,147,162,531.186
Clip31,311,212,2389.125
Clip31,300,271,1376.337
Clip31,151,154,970.152
Clip31,NA,285,2246.286
Clip31,NA,162,2077.49
Clip31,NA,150,597.812
Clip31,NA,191,7219.364
Clip32,442,157,624.806
Clip32,287,200,1167.563
Clip32,200,184,5294.938
Clip32,NA,206,1040.859
Clip32,NA,250,5396.4
Clip32,350,350,1635.687
Clip32,NA,235,5833.774
Clip32,NA,238,5149.496
Clip32,NA,217,4095.438
Clip32,106,208,12142.313
Clip32,NA,202,2796.145
Clip32,NA,231,5008.686
Clip32,NA,187,3538.063
Clip32,513,530,715.989
Clip32,383,189,3056.921
Clip32,NA,232,8993.25
Clip32,NA,308,2449.938
Clip32,268,218,1737.313
Clip32,167,158,2548.922
Clip32,NA,262,3640.953
Clip32,414,335,758
Clip32,156,225,9399.5
Clip32,195,196,1478.681
Clip32,169,127,2791.628
Clip32,165,219,446.955
Clip32,NA,528,601.419
Clip32,418,421,661.979
Clip32,269,259,509.688
Clip32,250,190,1670.938
Clip32,166,181,5184.312
Clip32,NA,219,4905.563
Clip32,234,225,1585.866
Clip32,237,203,1420.867
Clip32,141,143,599.873
Clip32,NA,180,2144.188
Clip32,NA,206,4092.75
Clip32,156,153,298.639
Clip32,143,146,402.514
Clip32,140,147,425.378
Clip32,250,257,2817.751
Clip32,140,140,869.118
Clip32,420,171,557.347
Clip32,111,132,1674.977
Clip32,NA,157,2632.563
Clip32,NA,151,1850.269
Clip32,181,209,2256.382
Clip33,250,221,2709.313
Clip33,NA,287,3618.125
Clip33,277,341,2943.622
Clip33,NA,281,3387.188
Clip33,301,232,4388.189
Clip33,244,222,1488.759
Clip33,291,296,1538.75
Clip33,NA,272,2628.819
Clip33,210,238,4824.387
Clip33,287,289,7833.481
Clip33,NA,308,6784.769
Clip33,NA,308,3790.246
Clip33,248,290,1411.89
Clip33,NA,357,7196.273
Clip33,NA,309,851.342
Clip33,NA,253,1677.128
Clip33,224,203,1182.544
Clip33,256,251,1854.957
Clip33,NA,323,2935.111
Clip33,487,490,2177.688
Clip33,NA,250,2765.937
Clip33,379,402,2048.899
Clip33,441,421,815.5
Clip33,NA,431,2623.75
Clip33,452,453,1081.5
Clip33,NA,230,1341.188
Clip33,215,217,2004.803
Clip33,184,176,693.374
Clip33,215,210,1793.533
Clip33,237,271,447.937
Clip33,214,396,2972.481
Clip33,334,321,2356.454
Clip33,277,334,3370.25
Clip33,NA,331,3240.525
Clip33,321,323,1489.336
Clip33,NA,240,2425.207
Clip33,NA,311,3552.313
Clip33,295,319,2974.375
Clip33,NA,259,712.895
Clip33,NA,181,1612.121
Clip33,454,434,2801.307
Clip33,273,291,3152.099
Clip33,259,328,1807.754
Clip33,220,253,2984.699
Clip33,338,322,3139.253
Clip33,NA,284,622.861
Clip33,NA,327,812.5
Clip33,NA,197,2546.562
Clip33,385,370,436.018
Clip33,197,251,1616.106
Clip33,NA,414,2192.75
Clip33,NA,201,1969.313
Clip33,469,471,966.778
Clip33,173,178,403.437
Clip33,NA,224,730.937
Clip33,NA,194,2858.501
Clip33,NA,192,3924.15
Clip33,271,281,3797.625
Clip34,113,238,1960.812
Clip34,441,335,4466.604
Clip34,271,252,4518.541
Clip34,NA,194,2180
Clip34,187,208,2360.414
Clip34,199,235,4274.711
Clip34,226,228,2391.378
Clip34,NA,287,6397.923
Clip34,NA,225,4710.062
Clip34,206,230,2056.875
Clip34,NA,286,2573.028
Clip34,328,331,1136.278
Clip34,586,253,5639.131
Clip34,295,397,2519.08
Clip34,86,310,9205.879
Clip34,438,421,7896.854
Clip34,405,339,4046.946
Clip34,NA,476,2869.533
Clip34,NA,214,5849.94
Clip34,485,309,4681.277
Clip34,322,255,5354.318
Clip34,263,211,1340.824
Clip34,NA,249,5427.443
Clip34,594,543,578.452
Clip34,343,344,3986.184
Clip34,350,327,1654.684
Clip34,NA,233,1571.36
Clip34,315,334,3148.211
Clip34,335,345,2296.857
Clip34,NA,329,4660.18
Clip34,421,275,2596.82
Clip34,238,316,1246.537
Clip34,NA,321,3410.841
Clip34,291,280,6013.219
Clip34,379,325,5409.312
Clip34,517,310,2938.063
Clip34,202,274,11321.721
Clip34,362,279,2619.592
Clip34,218,218,608.56
Clip34,NA,248,5586.476
Clip34,230,258,3628.231
Clip34,323,294,5531.318
Clip34,445,252,7594.901
Clip34,245,237,3038.329
Clip34,248,299,7785.42
Clip34,NA,249,10021.313
Clip34,NA,278,2184.169
Clip34,271,222,5247.778
Clip34,NA,223,5111.938
Clip34,342,383,679.532
Clip34,315,258,3857.753
Clip34,228,290,3817.388
Clip34,NA,268,3644.255
Clip35,405,395,697.062
Clip35,403,398,4290.375
Clip35,NA,363,5991.938
Clip35,NA,336,3509.671
Clip35,NA,372,5191.019
Clip35,NA,385,5973.125
Clip35,333,309,2106.687
Clip35,380,334,2662.639
Clip35,NA,410,5795.188
Clip35,351,316,5302.397
Clip35,338,324,2156.67
Clip35,372,346,2399.188
Clip35,NA,366,10726.741
Clip35,NA,413,3634.062
Clip35,316,373,4611.312
Clip35,313,369,3660.007
Clip35,277,334,3665.16
Clip35,NA,369,4364.75
Clip35,283,311,3297.187
Clip35,210,224,1116.547
Clip35,231,227,1561.79
Clip35,408,249,936.125
Clip35,231,232,2185.548
Clip35,181,194,1103.667
Clip35,350,246,3859
Clip35,295,295,4410.625
Clip35,220,215,1037.713
Clip35,NA,210,1255.25
Clip35,205,211,3680.125
Clip35,221,202,565.937
Clip35,NA,244,4569.979
Clip35,NA,215,5630.25
Clip35,NA,297,2075.938
Clip35,NA,248,2648.8
Clip35,NA,311,6935.493
Clip35,267,293,7228.52
Clip35,NA,331,7037.312
Clip35,336,301,6969
Clip35,NA,292,7103.813
Clip35,274,325,7357.937
Clip35,295,265,3189
Clip35,NA,260,9571.249
Clip35,330,268,6290.195
Clip35,NA,266,2508.43
Clip35,NA,264,9307.101
Clip35,NA,271,6254.187
Clip35,NA,269,3240.813
Clip35,NA,264,8582.627
Clip35,NA,271,5881.5
Clip35,259,263,2834.187
Clip35,246,270,6072.688
Clip35,191,250,1368.315
Clip35,NA,275,5492.5
Clip36,370,352,284.571
Clip36,253,229,701.153
Clip36,242,231,590.75
Clip36,NA,192,1206.55
Clip36,107,205,1913.763
Clip36,NA,253,1518.875
Clip36,323,367,1690.687
Clip36,201,212,987.293
Clip36,214,222,752.75
Clip36,NA,287,3931.378
Clip36,NA,359,2889.187
Clip36,408,312,3153.188
Clip36,NA,465,6957
Clip36,NA,256,3148.398
Clip36,NA,267,2987.313
Clip36,360,304,3027.563
Clip36,342,267,3033.875
Clip36,NA,467,7148.376
Clip36,NA,268,3359.75
Clip36,NA,262,3141.877
Clip36,273,234,3212.437
Clip36,90,252,4433.5
Clip36,NA,216,1851.687
Clip36,226,207,892
Clip36,NA,232,1550.562
Clip36,173,177,2833.313
Clip36,229,475,1318.447
Clip36,NA,487,1376.812
Clip36,NA,262,1998.648
Clip36,386,372,1015.157
Clip36,297,441,1505.625
Clip36,NA,399,1684.938
Clip36,451,257,438.233
Clip36,262,263,1078.174
Clip36,NA,298,3099.5
Clip36,NA,321,6380.869
Clip36,217,235,1896.375
Clip36,NA,234,3054.375
Clip36,225,247,2643.34
Clip36,NA,252,3707.188
Clip36,NA,329,7904.062
Clip36,351,237,2453.812
Clip36,172,299,2003.125
Clip36,NA,254,2127.375
Clip36,494,506,1786.875
Clip36,525,324,912.485
Clip36,319,408,2022.375
Clip36,328,421,957
Clip36,451,308,3768.188
Clip36,345,290,1845.626
Clip36,264,272,4101.125
Clip36,298,282,1809.875
Clip36,NA,421,5036.157
Clip36,NA,253,1661.992
Clip36,218,303,955.553
Clip36,NA,283,3010.44
Clip36,296,290,3669.532
Clip36,NA,291,4050.531
Clip36,260,324,661.937
Clip36,378,234,1539.313
Clip36,364,397,456.953
Clip36,262,281,2600.437
Clip36,295,285,11053
Clip36,NA,511,2246.286
Clip36,NA,371,10988.791
Clip36,NA,389,6337.125
Clip36,NA,376,5860.937
Clip36,NA,378,11311.775
Clip36,499,486,439.125
Clip37,183,199,975.205
Clip37,316,305,1025.222
Clip37,NA,314,1259.478
Clip37,218,224,1614.279
Clip37,169,175,1208.688
Clip37,NA,353,2196.268
Clip37,NA,226,1323.471
Clip37,NA,256,1530.5
Clip37,279,237,1701.582
Clip37,261,196,3464.059
Clip37,NA,228,2570.234
Clip37,237,338,10886.463
Clip37,343,251,1921.678
Clip37,236,228,1155.604
Clip37,NA,202,3531.733
Clip37,120,282,1879.523
Clip37,NA,258,1684.258
Clip37,NA,450,1768.671
Clip37,211,208,226.011
Clip37,NA,196,3680.859
Clip37,NA,167,663.605
Clip37,NA,204,384.708
Clip37,NA,NA,1097.723
Clip37,NA,223,3028.635
Clip37,NA,209,2233.302
Clip37,NA,203,11352.628
Clip37,NA,234,2363.817
Clip37,NA,NA,490.653
Clip37,NA,209,638.598
Clip37,NA,NA,630.44
Clip37,NA,NA,1333.047
Clip37,NA,233,703.188
Clip37,NA,214,636.231
Clip37,NA,155,698.54
Clip37,NA,NA,634.754
Clip37,NA,NA,363.561
Clip37,NA,183,804.955
Clip37,193,226,753.988
Clip37,NA,227,696.921
Clip37,NA,NA,443.551
Clip37,232,258,727.63
Clip37,212,195,1163.114
Clip37,NA,218,6088.884
Clip37,232,254,3122.533
Clip37,NA,209,13203.548
Clip37,204,185,727.122
Clip37,NA,209,371.667
Clip37,NA,NA,708.787
Clip37,213,191,3225.461
Clip37,NA,NA,441.467
Clip37,NA,NA,366.752
Clip37,NA,NA,364.757
Clip37,NA,208,656.41
Clip37,NA,NA,1091.39
Clip37,NA,NA,376.545
Clip37,NA,NA,324.655
Clip37,385,351,1338.485
Clip37,NA,NA,531.313
Clip37,NA,NA,664.25
Clip37,NA,NA,947.855
Clip37,NA,NA,509.625
Clip37,NA,NA,878.843
Clip38,324,302,879.562
Clip38,245,264,1155.604
Clip38,NA,326,1111.928
Clip38,254,325,4191.935
Clip38,286,493,2099.679
Clip38,261,261,1592.839
Clip38,NA,264,1419.521
Clip38,214,235,5766.541
Clip38,NA,274,3121.688
Clip38,285,295,1411
Clip38,249,263,753.09
Clip38,NA,226,4772.265
Clip38,513,401,3827.548
Clip38,222,240,4090.059
Clip38,NA,222,2419.514
Clip38,NA,280,2126.34
Clip38,NA,348,1466.313
Clip38,189,368,1265.101
Clip38,355,265,2409.38
Clip38,406,392,1321.787
Clip38,470,386,1265.813
Clip38,219,364,3518.749
Clip38,214,278,2148.239
Clip38,216,266,5011.945
Clip38,357,259,2361.128
Clip38,287,297,688.169
Clip38,415,318,1491.103
Clip38,298,398,4682.46
Clip38,275,269,1677
Clip38,322,272,2584.356
Clip38,223,237,5089.851
Clip38,529,476,3318.009
Clip38,NA,343,3741.25
Clip38,184,251,1425.246
Clip38,NA,253,4206.918
Clip38,331,214,2346.105
Clip38,NA,302,2980.617
Clip38,263,239,5306.596
Clip38,354,369,2071.591
Clip38,553,341,7868.494
Clip38,NA,281,1839.213
Clip38,NA,279,4036.271
Clip38,212,242,1706.406
Clip38,310,304,698.813
Clip38,347,346,662.2
Clip38,330,210,1008.938
Clip38,211,386,3839.543
Clip38,NA,335,1600.891
Clip38,NA,223,1202.75
Clip38,270,250,3220.11
Clip38,NA,261,4808.477
Clip38,377,315,5462.363
Clip38,NA,239,2769.187
Clip38,321,319,378.802
Clip38,571,549,2181.365
Clip38,207,255,3330.282
Clip38,264,236,5751.411
Clip38,167,508,3895.294
Clip38,NA,231,2419.213
Clip38,332,361,1884.637
Clip38,256,269,586.723
Clip38,NA,289,2181.365
Clip38,NA,229,1626.257
Clip38,NA,283,2287.457
Clip38,NA,247,895.918
Clip38,381,354,645.155
Clip38,NA,143,2533.5
Clip39,305,266,1726.914
Clip39,NA,NA,274.302
Clip39,200,269,520.877
Clip39,NA,286,636.625
Clip39,NA,307,1129.635
Clip39,421,279,833.174
Clip39,239,221,1308.188
Clip39,NA,NA,383.055
Clip39,NA,NA,1072.732
Clip39,289,243,7194.187
Clip39,309,252,1444.645
Clip39,255,260,2833.607
Clip39,190,189,486.562
Clip39,393,249,3887.625
Clip39,NA,205,397.436
Clip39,327,314,1297.156
Clip39,371,379,633.5
Clip39,206,241,3822.351
Clip39,NA,249,1833.625
Clip39,323,234,2088.495
Clip39,297,285,2338.118
Clip39,171,190,1096.253
Clip39,398,370,1017.382
Clip39,357,336,2994.58
Clip39,251,290,2106.92
Clip39,276,238,714.137
Clip39,304,264,1035.618
Clip39,220,214,667
Clip39,232,236,403.466
Clip39,278,278,1661.992
Clip39,194,271,4710.264
Clip39,216,244,2612.054
Clip39,343,231,3781.458
Clip39,290,233,3046.726
Clip4,245,254,1121.2
Clip4,NA,274,3521.938
Clip4,NA,232,2653.313
Clip4,288,224,1076.7
Clip4,NA,244,838.324
Clip4,230,199,1597.563
Clip4,NA,NA,344.108
Clip4,205,213,1498.438
Clip4,NA,NA,800.647
Clip4,199,196,526.815
Clip4,200,192,716.007
Clip4,NA,209,696.438
Clip4,208,202,1146.75
Clip4,NA,191,1874.455
Clip4,NA,126,1259.397
Clip4,NA,212,1983.562
Clip4,NA,266,1058.875
Clip4,176,216,2706.553
Clip4,NA,232,1826.687
Clip4,NA,245,2155.063
Clip4,NA,275,773.75
Clip4,NA,209,4657.727
Clip4,224,217,877.204
Clip4,NA,NA,369.961
Clip4,NA,285,1292.935
Clip4,NA,389,1212.092
Clip4,424,351,1070.968
Clip4,195,189,470.657
Clip4,211,206,1622.721
Clip4,240,229,5213.541
Clip4,NA,NA,431.785
Clip4,219,297,1480.405
Clip4,357,334,5127.125
Clip4,285,284,606.532
Clip4,306,319,1079.125
Clip4,326,260,5448.209
Clip4,NA,303,3710.739
Clip4,NA,200,3895.169
Clip4,NA,278,3696.162
Clip4,217,215,812.304
Clip4,NA,208,4589.744
Clip4,NA,209,1410.295
Clip4,590,203,1139.364
Clip4,NA,249,2430.199
Clip4,278,253,1765.83
Clip4,173,237,1811.285
Clip4,NA,240,2032.125
Clip4,295,232,2826.395
Clip4,200,204,626.674
Clip4,152,203,5659.75
Clip4,165,206,2089.125
Clip4,169,176,1333.581
Clip4,194,198,631.098
Clip4,196,238,1712.949
Clip4,281,249,1126.188
Clip4,188,198,1103.696
Clip4,269,215,1097.875
Clip4,177,203,3553.437
Clip4,158,167,934.375
Clip4,NA,185,3169.812
Clip4,NA,203,2230.687
Clip4,232,236,975.063
Clip4,91,106,1288.789
Clip4,170,197,859.438
Clip4,214,206,694.502
Clip40,336,285,2095.812
Clip40,271,320,5323.569
Clip40,126,248,942.048
Clip40,194,216,934.324
Clip40,207,222,1697.854
Clip40,210,223,753.09
Clip40,NA,223,673.687
Clip40,NA,244,2531.941
Clip40,167,373,3494.409
Clip40,228,291,1148.833
Clip40,NA,NA,457.687
Clip40,NA,242,1253.142
Clip40,340,249,4479.588
Clip40,313,320,2709.99
Clip40,76,230,7154.357
Clip40,295,310,5066.686
Clip40,NA,161,2054.872
Clip40,451,354,4012.153
Clip40,300,318,6030.329
Clip40,250,244,2469.896
Clip40,242,241,3105.25
Clip40,NA,229,2236.43
Clip40,341,354,2428.507
Clip40,NA,206,3920.822
Clip40,NA,326,2492.988
Clip40,382,241,7021.212
Clip40,238,300,3402.787
Clip40,274,199,2726.706
Clip40,337,248,2705.514
Clip40,185,244,2826.375
Clip40,NA,289,3461.517
Clip40,121,375,2444.696
Clip40,NA,315,4501.373
Clip40,294,365,1908.694
Clip40,387,378,2559.559
Clip40,317,308,1791.835
Clip40,200,379,2363.145
Clip40,398,229,934.871
Clip40,210,210,1661.992
Clip40,448,304,1064.714
Clip40,212,234,1467.227
Clip40,247,240,1233.51
Clip40,289,273,1220.526
Clip40,272,235,3360.658
Clip40,297,277,2038.537
Clip40,NA,275,4757.673
Clip40,365,395,2823.204
Clip40,564,524,2843.565
Clip40,290,293,8189.069
Clip40,NA,277,4850.254
Clip40,NA,350,3436.064
Clip40,201,226,3362.876
Clip40,344,328,3375.922
Clip40,481,302,1802.263
Clip40,208,210,3077.282
Clip40,376,317,5232.679
Clip40,179,354,2492.207
Clip40,224,325,1936.125
Clip40,567,396,1990.405
Clip40,218,216,2518.957
Clip40,276,291,3421.576
Clip40,382,268,3813.563
Clip40,182,200,3503.359
Clip40,207,227,2586.898
Clip40,363,346,4979.062
Clip40,232,245,5902.813
Clip40,362,286,5099.589
Clip40,442,404,1350.369
Clip40,258,261,1791.835
Clip40,246,335,1687.961
Clip40,336,305,2532.728
Clip40,NA,205,4895.086
Clip40,471,372,2054.081
Clip40,295,301,4413.046
Clip40,233,470,4544.51
Clip40,259,254,1947.647
Clip40,220,222,3380.688
Clip40,NA,278,2777.25
Clip41,NA,267,3701.369
Clip41,NA,256,1492.549
Clip41,236,232,2841.375
Clip41,110,258,2632.687
Clip41,NA,482,666.658
Clip41,NA,262,1897.029
Clip41,197,216,2161.204
Clip41,568,328,374.5
Clip41,394,320,2371.063
Clip41,NA,373,3992.354
Clip41,NA,259,1676.351
Clip41,NA,233,1170.066
Clip41,96,197,2080.15
Clip41,323,313,538.766
Clip41,186,230,1783.687
Clip41,203,307,1674.2
Clip41,NA,342,2525.273
Clip41,328,333,1337.384
Clip41,362,343,1563.876
Clip41,NA,281,1504.269
Clip41,353,308,545.341
Clip41,356,340,1064.714
Clip41,384,375,2013.778
Clip41,555,286,2147.258
Clip41,202,243,1233.51
Clip41,203,241,1857.286
Clip41,393,385,445.312
Clip41,232,258,2319.468
Clip41,279,302,959.854
Clip41,302,358,2402.098
Clip41,228,375,2832.472
Clip41,NA,377,8005.219
Clip41,NA,233,3262.563
Clip41,NA,380,623.247
Clip41,NA,274,2739.69
Clip41,NA,297,1821.851
Clip41,374,369,1735.851
Clip41,252,230,349.289
Clip41,414,409,1711.248
Clip41,340,345,1638.314
Clip41,376,359,451.562
Clip41,NA,303,3851.242
Clip41,400,393,1772.437
Clip41,378,396,1045.75
Clip41,344,290,1683
Clip41,224,252,439.063
Clip41,281,242,2064.506
Clip41,316,337,304.59
Clip41,424,374,1475.488
Clip41,235,310,1465.062
Clip41,491,424,364.563
Clip41,406,400,2782.721
Clip41,404,392,5519.121
Clip41,325,341,412.71
Clip41,361,226,1493.232
Clip41,111,215,1467.882
Clip41,NA,316,806.875
Clip41,NA,365,1349.882
Clip41,231,218,1130.437
Clip41,NA,254,3116.235
Clip41,310,287,520
Clip41,NA,315,2324.192
Clip41,NA,517,486.114
Clip41,249,258,851.687
Clip41,511,417,1096.697
Clip41,NA,268,1197.688
Clip41,NA,249,1298.431
Clip41,206,213,1186.25
Clip41,255,228,744.202
Clip41,234,235,2042.836
Clip41,NA,379,1669.5
Clip41,NA,376,1557.625
Clip42,NA,229,1215
Clip42,NA,247,2510.612
Clip42,NA,201,3908.279
Clip42,161,223,2524.375
Clip42,413,252,3822.813
Clip42,242,252,6329.75
Clip42,210,209,7110
Clip42,NA,203,4348.671
Clip42,NA,171,1752.882
Clip42,NA,195,4162.701
Clip42,169,265,3711.75
Clip42,233,268,2676.591
Clip42,NA,213,2250.96
Clip42,NA,212,7863
Clip42,NA,214,2840.185
Clip42,NA,216,5836.252
Clip42,218,223,4180.949
Clip42,NA,205,2856.38
Clip42,175,214,10792.43
Clip42,NA,208,2238.038
Clip42,212,174,1170.375
Clip42,436,276,2051.375
Clip42,NA,243,3259.563
Clip42,205,247,3164.392
Clip42,293,258,6143.058
Clip42,NA,193,3713.514
Clip42,NA,170,4570.375
Clip42,NA,183,8182.407
Clip42,296,247,4790.875
Clip42,211,225,4004.063
Clip42,NA,282,1002.563
Clip42,NA,214,5392.771
Clip42,NA,305,2224.718
Clip42,NA,284,2278.973
Clip42,421,355,2223.715
Clip42,418,326,2143.688
Clip42,353,341,1497.612
Clip42,313,355,4675.92
Clip42,315,423,2632.329
Clip42,NA,230,7446.946
Clip42,NA,193,1667.872
Clip42,418,300,2917.622
Clip42,NA,256,2687.753
Clip42,268,465,1175.038
Clip42,407,349,1744.375
Clip42,425,417,1289.265
Clip42,NA,225,7489.687
Clip42,NA,235,18548.625
Clip42,210,254,1234.25
Clip42,313,335,3763.807
